파일명,제품명,용량,상품코드,정상가_표시,할인가_표시,할인 내용
롯데 맨(1).jpg,질레트 랩스 래피드 쉐이브젤,198ML,184987176132284,"15,900원","15,900원",1+1
롯데 맨(2).jpg,질레트 랩스 쉐이브폼 퀵틴스,240ML,284987176132277,"15,900원","15,900원",1+1
롯데 맨(3).jpg,질레트 퓨전 젤 (센서티브),195G,87702018864560,"9,900원","9,900원",증정
롯데 맨(4).jpg,질레트 스킨텍 쉐이브 젤,195G,184902430913829,"9,800원","9,800원",증정
롯데 맨(5).jpg,질레트 스킨텍 쉐이브 폼,245G,154902430913836,"9,000원","9,000원",1+1
롯데 맨(6).jpg,질레트 면도용 폼 (민감성),175G,200047400241442,"5,600원","5,600원",식별불가
롯데 맨(7).jpg,[공구핫딜] 도루코쿨링쉐이빙폼 더블팩,210ML*2입,123809389188864,식별불가,"5,990원",식별불가
