상품명,용량,상품코드,기준가,행사가,source
클립램프영양립밤,1,8809704424769,1090원,Nan,KakaoTalk_20250226_111541090.jpg
신비한x랜디클립램프탱글립밤,Nan,8809704424752,미 1090,30/ 0스 1,KakaoTalk_20250226_111541090_01.jpg
니베아 립케어 모이스춰 케어,4.8g*2,8806322102468,6,900원,Nan,KakaoTalk_20250226_111541090_02.jpg
니베아 립케어 후르티샤인 체리,4.8g,4005808517589,Nan,Nan,KakaoTalk_20250226_111541090_03.jpg
니베아 스트로베리 립케어,4.8g,4005808372881,4900원,Nan,KakaoTalk_20250226_111541090_04.jpg
니베아 립케어 후르티샤인 피치,4.8g,4005808904358,4,900원,Nan,KakaoTalk_20250226_111541090_05.jpg
니베아 립케어 딥 모이스처 언센티드,Nan,8806322114744,3150원,6930원,KakaoTalk_20250226_111541090_06.jpg
립아이스 립밤 자몽 티,Nan,8809020342518,8800원,3080원,KakaoTalk_20250226_111541090_07.jpg
